target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL1978,MACCS,SVM,0.925548852449436,0.9502219719066496,1.0194520478386946,1.2738987121367669,True
CHEMBL1978,MACCS,GBM,0.9297520992378798,0.9584548783477482,1.0674877207661018,1.2260856612562554,True
CHEMBL1978,MACCS,KNN,0.9977007170913824,1.006532296397307,1.013523179354591,1.2884194229698271,True
CHEMBL1978,PHYSCHEM,RF,1.079116911320227,0.977657936672706,1.030788264535516,1.328319466840883,True
CHEMBL1978,PHYSCHEM,SVM,1.1399633405624725,1.13861428421019,0.8857213165349412,1.0913069311479628,True
CHEMBL1978,PHYSCHEM,GBM,1.1086314299021018,1.0322065136250311,1.0859045918582153,1.3768666774439344,True
CHEMBL1978,PHYSCHEM,KNN,1.0420161279561675,0.9582129398856049,1.0676642883196623,1.3926073721093046,True
CHEMBL1978,WHIM,RF,1.0554418919947377,1.0640859621992853,1.0798543377313414,1.4946245116094052,True
CHEMBL1978,WHIM,SVM,1.0762617347924155,1.0752810918363167,1.080983967835084,1.4584318740504487,True
CHEMBL1978,WHIM,GBM,1.0977764978835889,1.172224782351247,1.0771463143586688,1.4940650547442489,True
CHEMBL1978,WHIM,KNN,1.0877920985488585,1.0916281013353195,1.1534702846593152,1.6171676058969908,True
CHEMBL203,ECFP,RF,0.624635297086316,0.7915814369040434,0.6875430968681668,0.7990134226595983,True
CHEMBL203,ECFP,SVM,0.6119089121092475,0.8235614323908926,0.5331353424585378,0.7390407020638254,True
CHEMBL203,ECFP,GBM,0.6435267267961883,0.8529920125117681,0.6157479419675254,0.730991031689073,True
CHEMBL203,ECFP,KNN,0.6634254232724951,0.8147785806833222,0.627227571382356,0.8855329820795845,True
CHEMBL203,MACCS,RF,0.6673407528990465,0.8664551724197662,0.6117500326448533,0.8185038719516629,True
CHEMBL203,MACCS,SVM,0.698741894762669,0.8951756390348351,0.5876667661266257,0.744003232470515,True
CHEMBL203,MACCS,GBM,0.6974062137521646,0.9456847581333878,0.6100386452843606,0.8434941084155387,True
CHEMBL203,MACCS,KNN,0.7309939066185625,0.9460551938564532,0.6283604290707401,0.9408107876190086,True
CHEMBL203,PHYSCHEM,RF,0.7999564393451051,0.939406692693774,0.5797567428062027,0.8622226073324525,True
CHEMBL203,PHYSCHEM,SVM,0.9536503284746762,0.9542002020440248,0.7700283339265221,0.9803792680763586,True
CHEMBL203,PHYSCHEM,GBM,0.827379999642834,0.95236409812687,0.6870204083576117,1.0114872396967054,True
CHEMBL203,PHYSCHEM,KNN,0.8006339872395236,0.9341679970378316,0.6764876876702669,0.9560717113417516,True
CHEMBL203,WHIM,RF,0.8249719432669262,0.8721669354256566,0.7629647521925874,0.8587826020674015,True
CHEMBL203,WHIM,SVM,0.8442967729225967,0.9261969199600047,0.7900985906168346,0.8278091301165271,True
CHEMBL203,WHIM,GBM,0.8114118882016268,0.8166237025641389,0.836747512214899,1.0086109414804902,True
CHEMBL203,WHIM,KNN,0.8440146564324827,0.8530725665551514,0.7230607668838215,0.8190552848884807,True
CHEMBL204,ECFP,RF,0.8042940825154898,0.9190210270998362,0.7634846990459597,0.9212150965508008,True
CHEMBL204,ECFP,SVM,0.7425793977189945,0.8479105831524706,0.6876172453641965,0.8280717891100291,True
CHEMBL204,ECFP,GBM,0.7989459032852646,0.9073594014193072,0.7669917179738869,0.9453908411432452,True
CHEMBL204,ECFP,KNN,0.8429597256513137,0.971932032634764,0.7796567993219569,0.9744594527502676,True
CHEMBL204,MACCS,RF,0.8732723628467665,0.950344525037839,0.817451706095941,0.956981124801098,True
CHEMBL204,MACCS,SVM,0.8457216940750142,0.9405095218093098,0.8127478162625863,0.984170077789084,True
CHEMBL204,MACCS,GBM,0.8338357394731782,0.9257324624657394,0.8132003782380604,0.966000331643027,True
CHEMBL204,MACCS,KNN,0.9196726268436192,1.0462102200448102,0.8761352450269536,1.0226457431735307,True
CHEMBL204,PHYSCHEM,RF,1.1340181787472887,1.1702007830466348,1.0952754077416236,1.1549034901243656,True
CHEMBL204,PHYSCHEM,SVM,1.1991260456711648,1.238786932269287,1.1897926247346302,1.3181367318906096,True
CHEMBL204,PHYSCHEM,GBM,1.1553481655226314,1.2007294996646063,1.1431236734056405,1.204086088106973,True
CHEMBL204,PHYSCHEM,KNN,1.1640036414147965,1.2088485467398289,1.1188405289168757,1.185348572009277,True
CHEMBL204,WHIM,RF,1.2828007347277195,1.3236584802743534,1.2845794705490916,1.4138568065892394,True
CHEMBL204,WHIM,SVM,1.3000828264549018,1.363869081359608,1.3296596825493023,1.4786966392082723,True
CHEMBL204,WHIM,GBM,1.2947469894252823,1.351439183848531,1.305313581103246,1.4173501145066223,True
CHEMBL204,WHIM,KNN,1.3522394817592691,1.4018489601772413,1.3438354176603926,1.5080582661523303,True
CHEMBL217,ECFP,RF,0.6200285347129265,0.706665115643855,0.5801445671019302,0.6806458508704577,True
CHEMBL217,ECFP,SVM,0.6048904647138582,0.6827290946513498,0.5667501590765882,0.6432386248531986,True
CHEMBL217,ECFP,GBM,0.6443068278663482,0.7181444431974358,0.6064484940725252,0.6815329958496439,True
