BindingDB_ID,smiles,value,standard_type
50404343,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,210.0,Ki (nM)
50824064,CCCCNc1nc(NCCCC)nc(NCc2ccc(cc2)S(N)(=O)=O)n1,210.0,Ki (nM)
50463125,CC1=CC(=O)N(Cc2ccc(cc2)[N+]([O-])=O)S(=O)(=O)O1,210.0,Ki (nM)
51138827,Nc1cc(cc(c1O)[N+]([O-])=O)S(N)(=O)=O,210.0,Ki (nM)
51365733,O=S1(=O)Oc2ncc(cc2C=C1)-c1ccc(cc1)-c1ccccc1,210.0,Ki (nM)
50462186,C=CCOc1cc(=O)oc2ccccc12,210.0,Ki (nM)
51208209,O=C1N(CC#C)S(=O)(=O)c2ccccc12,210.0,Ki (nM)
50722347,C=CCOc1cc(=O)oc2ccccc12,210.0,Ki (nM)
51543857,NS(=O)(=O)c1ccc(NC2=CC(\C=C\c3ccccc3)N(C2=O)c2ccc(cc2)S(N)(=O)=O)cc1,211.0,Ki (nM)
51449630,NS(=O)(=O)c1ccc2N(Cc3cc(ccc3F)C(F)(F)F)C(=O)C(=O)c2c1,211.0,Ki (nM)
51403841,Cc1c(cnc2c(NC(=O)NCCc3ccc(cc3)S(N)(=O)=O)cnn12)C(O)=O,212.0,Ki (nM)
51228983,NS(=O)(=O)c1ccc(C\N=C\c2cc(ccc2OCC#C)[N+]([O-])=O)cc1,212.0,Ki (nM)
20736,CC(=O)Nc1ccc(cc1F)S(N)(=O)=O,213.0,Ki (nM)
50408419,NS(=O)(=O)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,213.0,Ki (nM)
50350118,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCCCN1CCOCC1,213.0,Ki (nM)
50241188,NS(=O)(=O)c1ccc(CC\N=C\c2c(F)c(F)cc(F)c2F)cc1,213.0,Ki (nM)
51201044,NS(=O)(=O)c1ccc(CCNc2nc(F)nc(NCC(O)=O)n2)cc1,214.0,Ki (nM)
51335984,CCn1c(cs\c1=N\c1ccc(cc1)S(N)(=O)=O)-c1cccc(c1)[N+]([O-])=O,214.0,Ki (nM)
51583794,CC(C)n1nc(C(=O)Nc2ccc3c(c2)C=CS(=O)(=O)O3)c2ccccc21,215.0,Ki (nM)
51545652,Cc1cc(cnc1-c1ccnc2ccccc12)-c1cccc(c1)S(N)(=O)=O,215.0,Ki (nM)
50239350,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)S(=O)(=O)NCCOS(N)(=O)=O,215.0,Ki (nM)
50239351,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)S(=O)(=O)NCCCOS(N)(=O)=O,215.0,Ki (nM)
51135565,NS(=O)(=O)c1ccc(O)c(NC(=O)NCc2ccccc2)c1,216.0,Ki (nM)
50467347,NS(=O)(=O)c1ccc(cc1)-c1ccc(Cn2cccn2)cc1,216.0,Ki (nM)
50279611,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1nncs1,216.0,Ki (nM)
50467986,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(cc2)\N=C2/C(=O)Nc3ccccc23)cc1,217.0,Ki (nM)
51102266,NS(=O)(=O)c1ccc(cc1)-n1cc(nn1)C(=O)c1ccco1,217.0,Ki (nM)
50836324,NS(=O)(=O)c1ccc(cc1)N1C(=O)c2cccc3cc(cc(C1=O)c23)[N+]([O-])=O,218.0,Ki (nM)
50754693,NS(=O)(=O)c1cccc(NC(=O)Nc2ccc(F)cc2)c1,219.0,Ki (nM)
51362126,NS(=O)(=O)c1ccc(CNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,220.0,Ki (nM)
50462240,S=c1ccc2ccc(OCCCC#C)cc2o1,220.0,Ki (nM)
50868829,CC1(C)CC(CC(C)(C)N1[O])NC(=S)Nc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)S(N)(=O)=O,220.0,Ki (nM)
50517669,NS(=O)(=O)c1nnc(NC(=O)c2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)s1,220.0,Ki (nM)
51313061,O=C(Nc1ccc2C(=O)NS(=O)(=O)c2c1)c1ccccc1,220.0,Ki (nM)
51313170,O=C(Nc1ccc2C(=O)NS(=O)(=O)c2c1)c1ccccc1,220.0,Ki (nM)
50332398,NS(=O)(=O)c1ccc(CC\N=C/c2ccccc2)cc1,220.0,Ki (nM)
51203058,Oc1ccccc1CNc1ccccc1NCc1ccccc1O,220.0,Ki (nM)
50463108,Cc1ccccc1CN1C(=O)c2ccccc2S1(=O)=O,221.0,Ki (nM)
51194587,COc1cc(CCNS(N)(=O)=O)cc(OC)c1OC,221.0,Ki (nM)
51365731,O=S1(=O)Oc2ncc(cc2C=C1)-c1cccc2ccccc12,221.0,Ki (nM)
23294,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1O[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O)n1cc(CNC(=O)c2ccc(cc2)S(N)(=O)=O)nn1,221.0,Ki (nM)
51286481,CC(C)(C)N1C(=O)C=C(c2cccs2)S1(=O)=O,221.0,Ki (nM)
51313066,O=C(Nc1cccc2c1C(=O)NS2(=O)=O)c1ccccc1,223.0,Ki (nM)
50279606,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccccc1N,223.0,Ki (nM)
51313172,O=C(Nc1cccc2c1C(=O)NS2(=O)=O)c1ccccc1,223.0,Ki (nM)
51331267,COc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)S(N)(=O)=O,223.0,Ki (nM)
50463135,OC(=O)CN1C(=O)c2ccccc2C1=O,223.0,Ki (nM)
50254971,NS(=O)(=O)c1ccc2nc(sc2c1)-n1cc(\C=N\O)c(n1)-c1ccc(F)cc1,224.0,Ki (nM)
50254984,NS(=O)(=O)c1ccc2nc(sc2c1)-n1cc(C#N)c(n1)-c1ccc(Cl)cc1,224.0,Ki (nM)
