smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cc(C)c(Cl)c(C)c3)c([nH]c12)C(=O)NCc1cc(ccn1)C(O)=O,Ki, 7900,nM,868528,,,False,Cc1cc(OCCCc2c(C(=O)NCc3cc(C(=O)O)ccn3)[nH]c3c(-c4c(C)nn(C)c4C)cccc23)cc(C)c1Cl,False,False,False
CN(C)CCCC(O)(c1ccccc1)c1ccc(OCCc2cccc(c2)-c2ccc(cc2)C(O)=O)cc1,Ki, 8000,nM,50605246,,,False,CN(C)CCCC(O)(c1ccccc1)c1ccc(OCCc2cccc(-c3ccc(C(=O)O)cc3)c2)cc1,False,False,False
Oc1cc(C(=O)NCCCc2ccccc2)c(NC(=O)c2ccccc2)c(O)c1O,Ki, 8040,nM,51080547,,,False,O=C(Nc1c(C(=O)NCCCc2ccccc2)cc(O)c(O)c1O)c1ccccc1,False,False,False
CCc1sc2ncnc(N[C@H](CC3CCCCC3)C(O)=O)c2c1-c1cccc(Oc2ccc(F)cc2)c1,Ki, 8100,nM,51270989,,,False,CCc1sc2ncnc(N[C@H](CC3CCCCC3)C(=O)O)c2c1-c1cccc(Oc2ccc(F)cc2)c1,False,False,False
Oc1c(O)c(Cc2ccccc2)cc(C(=O)Nc2ccccc2)c1O,Ki, 8300,nM,50361897,,,False,O=C(Nc1ccccc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,False,False,False
OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@H]2N(CC2CCCCC2)[C@H]1C(=O)NCc1ccc(Oc2ccccc2)cc1,Ki, 8400,nM,50456507,,,False,O=C(NCc1ccc(Oc2ccccc2)cc1)[C@H]1[C@H](CO)[C@H]2Cn3c(cccc3=O)[C@H]2N1CC1CCCCC1,False,False,False
Oc1ccc(Oc2ccccc2-c2csc(c2)S(=O)(=O)NCCNC(=O)Nc2cc(Cl)cc(Cl)c2)cc1O,Ki, 8400,nM,51439164,,,False,O=C(NCCNS(=O)(=O)c1cc(-c2ccccc2Oc2ccc(O)c(O)c2)cs1)Nc1cc(Cl)cc(Cl)c1,False,False,False
OC(=O)CSc1cc(NS(=O)(=O)c2ccc(cc2)-c2ccccc2)c2ccccc2c1O,Ki, 8820,nM,50095210,,,False,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)c2ccccc2c1O,False,False,False
CN1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2nn(CCCOc3cc(C)c(Cl)c(C)c3)c3ccc(Cl)cc23)CC1,Ki, 8931,nM,1319441,,,False,Cc1cc(OCCCn2nc(C(=O)NS(=O)(=O)c3ccc(NCC4CCN(C)CC4)c([N+](=O)[O-])c3)c3cc(Cl)ccc32)cc(C)c1Cl,False,False,False
OC(=O)c1ccc(c(COc2ccc(\C=C3/SC(=S)N(C3=O)c3ccccc3)cc2)c1)[N+]([O-])=O,Ki, 9000,nM,50429795,,,False,O=C(O)c1ccc([N+](=O)[O-])c(COc2ccc(/C=C3\SC(=S)N(c4ccccc4)C3=O)cc2)c1,False,False,False
COC(=O)C(C#N)C1C(C(=O)OC)=C(N)Oc2ccc(Br)cc12,Ki, 9000,nM,51288586,,,False,COC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OC,False,False,False
Cc1cc(OCCCc2c([nH]c3ccccc23)C(O)=O)ccc1Cl,Ki, 9100,nM,51040897,,,False,Cc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)ccc1Cl,False,False,False
Oc1cc2c(nc[nH]c2=O)c(O)c1O,Ki, 9282,nM,51080553,,,False,O=c1[nH]cnc2c(O)c(O)c(O)cc12,False,False,False
CC(C)[C@H](NC(C)=O)C(=O)Nc1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O,Ki, 9490,nM,50713090,,,False,CC(=O)N[C@H](C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)C(C)C,False,False,False
OC(=O)c1ccc(COc2ccc(\C=C3/SC(=S)N(C3=O)c3cccc(c3)[N+]([O-])=O)cc2)cc1,Ki, 9600,nM,50429777,,,False,O=C(O)c1ccc(COc2ccc(/C=C3\SC(=S)N(c4cccc([N+](=O)[O-])c4)C3=O)cc2)cc1,False,False,False
OC(=O)c1sc2ccccc2c1CCCOc1cccc2ccccc12,Ki, 9700,nM,51040899,,,False,O=C(O)c1sc2ccccc2c1CCCOc1cccc2ccccc12,False,False,False
OC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc3SCCCn1c23,Ki, 9900,nM,50337377,,,False,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCCS3,False,False,False
COc1ccc(cc1)S(=O)(=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cc1c(C)n(-c2ccc(cc2)-c2ccccc2)c2ccc(OC)cc12,Ki,>10000,nM,50841359,,,False,COc1ccc(S(=O)(=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)Cc2c(C)n(-c3ccc(-c4ccccc4)cc3)c3ccc(OC)cc23)cc1,False,False,False
COc1cc(CC(=O)N(C)C)ccc1-c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O,Ki,>10000,nM,50336913,,,False,COc1cc(CC(=O)N(C)C)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,False,False,False
CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(cc3)-c3ccc(Cl)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(cc2)[N+]([O-])=O)cc1,Ki,>10000,nM,50681366,,,False,CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(-c4ccc(Cl)cc4)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)N[C@@H](Cc3ccccc3)C(=O)NS(=O)(=O)c3ccc(cc3)-c3ccccc3)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841363,,,False,COc1ccc2c(c1)c(CC(=O)N[C@@H](Cc1ccccc1)C(=O)NS(=O)(=O)c1ccc(-c3ccccc3)cc1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(cc3)-c3ccc(OC)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(Cl)c(c2)[N+]([O-])=O)cc1,Ki,>10000,nM,50681361,,,False,CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(-c4ccc(OC)cc4)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NS(=O)(=O)c3ccccc3)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841361,,,False,COc1ccc2c(c1)c(CC(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)NS(=O)(=O)c1ccccc1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(NCc4ccccc4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841373,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(NCc3ccccc3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
