BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
50049008,CC12CCC3C(C1CCC2=O)[C@@H](Cc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC3C(C1CCC2=O)[C@@H](Cc1ccccc1)CC1=CC(=O)CCC13C,False,False
50049009,CC12CCC3C(C1CCC2=O)[C@H](CCCc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC3C(C1CCC2=O)[C@H](CCCc1ccccc1)CC1=CC(=O)CCC13C,False,False
50049010,CC12CCC3C(C1CCC2=O)[C@H](Cc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC3C(C1CCC2=O)[C@H](Cc1ccccc1)CC1=CC(=O)CCC13C,False,False
50049012,CC12CCC3C(C1CC[C@@H]2O)[C@H](Cc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC(=O)C=C1C[C@@H](Cc1ccccc1)C1C2CCC2(C)C1CC[C@@H]2O,False,False
50049011,CC12CCC3C(C1CCC2=O)[C@H](CCc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC3C(C1CCC2=O)[C@H](CCc1ccccc1)CC1=CC(=O)CCC13C,False,False
50036136,CC12CCC3C(C1CCC2O)C(=O)C=C1CCCCC31CO,140000.0,IC50(nM),3.853871964321762,CC12CCC3C(C(=O)C=C4CCCCC43CO)C1CCC2O,False,False
50036106,CC12CCC3C(C1CCC2=O)C(=O)C=C1C=CCCC31CO,60000.0,IC50(nM),4.221848749616356,CC12CCC3C(C(=O)C=C4C=CCCC43CO)C1CCC2=O,False,False
50036137,CC12CCC3C(C1CCC2=O)C(=O)C=C1CCCCC31CO,56000.0,IC50(nM),4.251811972993799,CC12CCC3C(C(=O)C=C4CCCCC43CO)C1CCC2=O,False,False
50036115,CC12CCC3C(C1CCC2O)C(=O)C=C1CCCCC31C,42000.0,IC50(nM),4.376750709602099,CC12CCCCC1=CC(=O)C1C2CCC2(C)C(O)CCC12,False,False
50036130,CC12CCC3C(C1CC[C@@H]2O)C(=O)C=C1C=CCCC31C,42000.0,IC50(nM),4.376750709602099,CC12CCC=CC1=CC(=O)C1C2CCC2(C)C1CC[C@@H]2O,False,False
