smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
CC(=O)NS(=O)(=O)c1ccc(cc1)N1C(=O)\C(=C/c2cn(C(C)=O)c3ccccc23)N=C1c1ccccc1,Ki (nM),1467.0,0.0,0.0,1,0,51413466
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(CNC(=O)c2ccc(cc2)S(N)(=O)=O)nn1,Ki (nM),238.0,0.0,0.0,1,0,23287
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(COC(=O)c2ccc(cc2)S(N)(=O)=O)nn1,Ki (nM),108.0,0.0,0.0,1,0,23289
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(nn1)-c1ccc(cc1)S(N)(=O)=O,Ki (nM),85.0,0.0,0.0,1,0,50857372
CC(=O)N[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1n1cc(CNC(=O)c2ccc(cc2)S(N)(=O)=O)nn1,Ki (nM),124.0,0.0,0.0,1,0,23286
CC(=O)N[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1n1cc(COC(=O)c2ccc(cc2)S(N)(=O)=O)nn1,Ki (nM),1200.0,0.0,0.0,1,0,23288
CC(=O)N[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1n1cc(nn1)-c1ccc(cc1)S(N)(=O)=O,Ki (nM),101.0,0.0,0.0,1,0,50857350
CC(=O)Nc1c(C#N)c(cn1-c1ccc(cc1)S(N)(=O)=O)-c1ccc(Cl)cc1,Ki (nM),836.0,0.0,0.0,1,0,51363090
CC(=O)Nc1ccc(Nc2ccc(cc2)S(N)(=O)=O)cc1,Ki (nM),37.0,0.0,0.0,1,0,50321645
CC(=O)Nc1ccc(O)cc1,Ki (nM),70700.0,0.0,0.0,1,0,50439746
CC(=O)Nc1ccc(OS(N)(=O)=O)cc1,Ki (nM),45.0,0.0,0.0,1,0,50812105
CC(=O)Nc1ccc(cc1)O,Ki (nM),70700.0,0.0,0.0,1,0,47637
CC(=O)Nc1ccc(cc1)S(=O)(=O)NNC(=O)Nc1ccc(cc1)S(N)(=O)=O,Ki (nM),81.0,0.0,0.0,1,0,50284241
CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,Ki (nM),4.5,0.0,0.0,1,0,50964305
CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki (nM),75.0,0.0,0.0,1,0,20755
CC(=O)Nc1ccc(cc1)S(N)(=O)=O,Ki (nM),135.0,0.0,0.0,1,0,50321650
CC(=O)Nc1ccc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki (nM),78.0,0.0,0.0,1,0,20758
CC(=O)Nc1ccc(cc1Br)S(N)(=O)=O,Ki (nM),203.0,0.0,0.0,1,0,20738
CC(=O)Nc1ccc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki (nM),71.0,0.0,0.0,1,0,20757
